text;label;subtype
¿Qué beneficios sociales entrega la municipalidad este año?;valida;beneficios_sociales
¿Qué ayudas económicas ofrece el municipio para familias vulnerables?;valida;beneficios_sociales
¿La municipalidad tiene apoyo para vecinos cesantes?;valida;beneficios_sociales
¿Cómo puedo acceder a ayuda social municipal?;valida;beneficios_sociales
¿Qué beneficios existen para personas mayores en la comuna?;valida;beneficios_sociales
¿La municipalidad entrega canastas familiares?;valida;beneficios_sociales
¿Dónde consulto apoyos para personas con discapacidad?;valida;beneficios_sociales
¿Cómo sé si califico para un beneficio municipal?;valida;beneficios_sociales
¿Qué subsidios o apoyos administra el municipio?;valida;beneficios_sociales
¿Hay beneficios para madres jefas de hogar en la comuna?;valida;beneficios_sociales
¿La municipalidad apoya a familias con problemas de vivienda?;valida;beneficios_sociales
¿Qué programas sociales municipales están vigentes?;valida;beneficios_sociales
¿Dónde puedo pedir orientación sobre beneficios comunales?;valida;beneficios_sociales
¿Cómo postulo a una ayuda social del municipio?;valida;beneficios_sociales
¿La municipalidad ofrece apoyo por emergencia económica?;valida;beneficios_sociales
¿Qué tipo de asistencia social entrega la comuna?;valida;beneficios_sociales
¿Existen apoyos municipales para adultos mayores solos?;valida;beneficios_sociales
¿Cómo solicito evaluación social en la municipalidad?;valida;beneficios_sociales
¿El municipio tiene beneficios para familias numerosas?;valida;beneficios_sociales
¿Qué apoyos comunales existen para vecinos vulnerables?;valida;beneficios_sociales
¿Cómo postulo a una beca municipal?;valida;becas_educacion
¿Qué becas ofrece la municipalidad para estudiantes?;valida;becas_educacion
¿Cuándo abren las postulaciones a becas municipales?;valida;becas_educacion
¿Dónde se entregan los formularios para becas municipales?;valida;becas_educacion
¿Qué requisitos tiene una beca de educación municipal?;valida;becas_educacion
¿La municipalidad tiene becas para educación superior?;valida;becas_educacion
¿Cómo renuevo una beca municipal?;valida;becas_educacion
¿Qué documentos necesito para postular a becas del municipio?;valida;becas_educacion
¿Hay becas municipales para alumnos de enseñanza media?;valida;becas_educacion
¿Dónde consulto resultados de becas municipales?;valida;becas_educacion
¿La comuna entrega apoyo a estudiantes universitarios?;valida;becas_educacion
¿Cómo se acredita el domicilio para una beca municipal?;valida;becas_educacion
¿Puedo postular a beca municipal si estudio fuera de la comuna?;valida;becas_educacion
¿Qué beneficios estudiantiles administra el municipio?;valida;becas_educacion
¿Cómo pido información sobre ayudas para estudiantes?;valida;becas_educacion
¿Existen becas municipales para transporte o materiales?;valida;becas_educacion
¿La municipalidad apoya a estudiantes con buen rendimiento?;valida;becas_educacion
¿Qué plazos debo considerar para postular a beca comunal?;valida;becas_educacion
¿Dónde hago consultas sobre becas del municipio?;valida;becas_educacion
¿Hay apoyo municipal para estudiantes técnicos?;valida;becas_educacion
¿Cuál es el horario de atención de la municipalidad?;valida;atencion_contacto
¿Dónde están ubicadas las oficinas municipales?;valida;atencion_contacto
¿Cómo contacto a la municipalidad por teléfono?;valida;atencion_contacto
¿Qué correo tiene la oficina de partes?;valida;atencion_contacto
¿La municipalidad atiende los sábados?;valida;atencion_contacto
¿Dónde queda la dirección de desarrollo comunitario?;valida;atencion_contacto
¿Cómo pido una hora con asistencia social?;valida;atencion_contacto
¿Qué número debo llamar para consultas generales del municipio?;valida;atencion_contacto
¿Dónde queda el departamento de tránsito?;valida;atencion_contacto
¿La municipalidad tiene atención online?;valida;atencion_contacto
¿Cómo puedo hablar con un ejecutivo municipal?;valida;atencion_contacto
¿Qué oficinas municipales atienden por orden de llegada?;valida;atencion_contacto
¿Dónde funciona la oficina de organizaciones comunitarias?;valida;atencion_contacto
¿Cómo contacto a la dirección de obras?;valida;atencion_contacto
¿Cuál es el horario de caja municipal?;valida;atencion_contacto
¿Dónde se ubica la oficina de patentes?;valida;atencion_contacto
¿La municipalidad responde consultas por WhatsApp?;valida;atencion_contacto
¿Cómo pido una audiencia con un funcionario municipal?;valida;atencion_contacto
¿Dónde encuentro los contactos de cada departamento?;valida;atencion_contacto
¿Qué canales de atención tiene el municipio?;valida;atencion_contacto
¿Cómo saco o renuevo una patente comercial?;valida;patentes_tramites
¿Qué requisitos necesito para una patente municipal?;valida;patentes_tramites
¿Dónde pago el permiso de circulación?;valida;patentes_tramites
